"","doc_id","text","label_predicted"
"1",1267545475747627008,"RT @_sweetgangster_: Vica secretly(?) gazing at Jack. It's obvious how she feels about him but what about our pumpkin guy?

#panaceagame #t<U+2026>",0
"2",1267992672255475712,"Don<U+2019>t put up unnecessary walls. 

<U+0001F4F8> @singaporemaven 

#covid19 #stayhome  #Scotland #VisitScotland #StayHomeMusings<U+2026> https://t.co/pZ0unvzsa5",0
"3",1267658203115876352,"RT @IDPCAsia: Around the world, #prisons are becoming increasingly overcrowded. #Humanrights abuses are rampant, from denial of basic #heal<U+2026>",0
"4",1267547663580508160,"RT @Barbarellen: All this reminds me of a zombie movie I went to see years ago. People were so ingrained with the habit of shopping, that t<U+2026>",0
"5",1267929184632025088,"srry for spam but inverted the first rainbow flag one cus i might like it better like this https://t.co/uOKO9mvjdf",0
"6",1267992146813939712,"@duncantrussell
I'm organizing a """"Zombie Crawl"""" in downtown Los Angeles for tomorrow night.

Let's really scare the<U+2026> https://t.co/WrvApagFx3",0
"7",1267487375845756928,"Welcome to phase 1 of the zombie apocalypse.",1
"8",1268006417174351872,"I was so excited to vote 4 @NYCMayor I did it 2ce. It was my 1st time voting and I researched who to chose and felt<U+2026> https://t.co/mHFH4Ormdz",0
"9",1267957907733262336,"RT @CantGuardCourt: Denver said it would not arrest protesters for being out past curfew and look at the results",0
"10",1267592639538442240,"@freaky_mahdi I cant <U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D> i was thinking how can i fix that",0
"11",1267655484720455680,"RT @NehaBhagat_jk: First leader to respond nd alert the govt.on #COVID19 nd economic crises -@RahulGandhi

First leader to demand for stimu<U+2026>",0
"12",1267294605009133568,"#Antifa suck it https://t.co/bttn8idUCX",0
"13",1265433561852772352,"Vampire Nighthawk #mtg

Artist: Jason Chan https://t.co/h0vai3SQ1p",0
"14",1267982377940377600,"@KSVesq Paid for by our tax dollars",0
"15",1267998690754600960,"RT @mitzienscene: cops gassing a crowd on a rainbow crosswalk....it's pride month all right https://t.co/UUlAMlhpLd",0
"16",1267657044057706496,"RT @SaniaNishtar: With great humility &amp; guided by a rules &amp; transparency driven approach, our government has crossed the Rs. 100 bln mark w<U+2026>",0
"17",1267291159006674944,"RT @PuestoLoco: @ChrisMurphyCT That's not even the most dangerous fold recently. Trump designating this amorphous thing called #AntiFa, giv<U+2026>",0
"18",1267607098034130944,"@SliftyThe2nd Cycles, Dive, Zombie, Try all by Jade Novah",0
"19",1267298900672761856,"RT @mitchellvii: Taking down #Antifa as a terrorist organization should be t-ball for AG Barr.  If he can't get this done right, and right<U+2026>",0
"20",1267604446370037760,"Rainbow over #NYCProtest in the East Village NYC. Stay Safe y<U+2019>all. https://t.co/DA1I32wAlk",0
"21",1267601203543842816,"Prayers&amp;Thoughts For your loss of your Dog Isaboo Rachel&amp;John She was delight to watch I'm going to Miss her How sh<U+2026> https://t.co/r5WhjnNt6v",0
"22",1267304135839199232,"RT @_tasilove: Out protesting #BlackLivesMatter https://t.co/ULhsSuW7NQ",0
"23",1267981836787036160,"EXO Rainbow <U+0001F64C><U+0001F3FC><U+0001F308>@weareoneEXO",1
"24",1267845308949704704,"#unicorn_beacon Entropy for beacon n<U+00B0> 39711 is: """"The brisk red wolf dashed beyond the lazy dingo and woofed: Bark, yelp.""""",0
"25",1265443932642652160,"What do you think is going to happen to Companions? #MTG

https://t.co/JQyxk1CyZ5",0
"26",1267536275596337152,"She talking bout a unicorn sleep over an I told her she can invite 9 girls",0
"27",1267740315865227264,"ordered a few mini paints lately, and threw a #MtG Deck Builder's Toolkit into the basket as well. 

This is basica<U+2026> https://t.co/ty7tWKZQj7",0
"28",1266537562438590464,"RT @TerminatorLx: @fernalfonso Whoever started throwing things at CNN is a plant to make the protestors look bad. I have protested dozens o<U+2026>",0
"29",1267602225532043264,"hama_cheese<U+2019>s rainbow aesthetic is literally everything i have ever strived for in my life",0
"30",1.267990546511e+18,"RT @ClowntownRL: @TheMilkmanBilly out there styling <U+0001F60D>
.
Check us out on instagram! <U+0001F921><U+0001F921> https://t.co/8GEMja9wS0
.
#rocketleague #clowntown #t<U+2026>",0
"31",1267998696672825344,"@AnnNabors4 HUGS! I am so sorry! This is the hardest part of loving a pet but it is the one last gift you can give<U+2026> https://t.co/VokY9fSehf",0
"32",1267484684314988544,"TOP 50 SURVIVAL GAMES ANDROID Zombie OFFLINE HIGH GRAPHICS 2020
https://t.co/bOTNqHmPIx https://t.co/sk3hgP2U0c",0
"33",1267936380166049792,"@MillieByrne12 The poor man (not) will be in for a hard time once the rainbow mob get a hold of him. It'll be. https://t.co/hNPYdDhSyG",0
"34",1267976053936525312,"RT @KRISTINSANGRY: INFO THREAD: if you cant donate yourself, here is a thread of youtubers you can watch. all proceeds from ads (pls do not<U+2026>",0
"35",1.265374548461e+18,"Retweeting this again! #mtg #MagicTheGathering #fridaynightmagic #fnm #fnmathome please share and rt! https://t.co/5qyCa2mUWt",0
"36",1267304140990033920,"RT @ImDontaiLOL: Tiktokers be like <U+201C>#BlackLivesMatter <U+0001F62D> This ruined my whole day<U+201D>...then hit the renegade 30 minutes later in they next pos<U+2026>",0
"37",1267993908841271296,"RT @CTZebra: Chad Eddinger, 49yo who worked  at the Wilkes-Barre VA Medical center, PA died of #covid19 on 4/29. He was both a Marine veter<U+2026>",1
"38",1267520781556355072,"Don<U+2019>t forget to order your Liv like a Unicorn shirts! #livlikeaunicorn #bethegood https://t.co/TPWOfhitst",0
"39",1267660324502736896,"@NYGovCuomo Shameful murderer #Cuomo who defied CDC orders by sending #COVID19 infected patients into LTC homes kil<U+2026> https://t.co/Z67q1Us2TP",0
"40",1267801276005449728,"@arvbellaflvme Aww poo that's so not cool <U+0001F974><U+0001F629>",0
"41",1267649701450518528,"@GOP @realDonaldTrump How come he ignores subpoenas , refuses to testify under oath, uses justice dept to let his p<U+2026> https://t.co/Ixh6WHxNY5",0
"42",1267546325471690752,"@sanemititties i wouldnt be surprised if a zombie apocalypse started <U+0001F62D>",1
"43",1265129131282501632,"Thanks to a shipping snafu, we had to wait an extra week to do our #MtG Ikoria webcam pre-release this weekend. Thi<U+2026> https://t.co/yScJyuHkVv",0
"44",1267616056442368000,"Zombie life starts tomorrow work errday at 5am <U+0001F643><U+0001F927>",1
"45",1267602930477289472,"RT @enetolicky1: amidst everything and with pride cancelled, how many companies are pumping out rainbow logos compared to last year? they c<U+2026>",0
"46",1267927044639330304,"RT @GSierraZorita: @douglasmack @zombie_esq Sharing - https://t.co/tAghee4EbT",0
